FID,Slope,Elevat,ShrubCov,x_utm,y_utm
1749,3.8675399,714,0.1307390,256299.200000000011642,3893622.200000000186265
1750,3.8261299,716,0.1368150,256339.200000000011642,3893622.200000000186265
1751,3.3743899,718,0.0479303,256379.200000000011642,3893622.200000000186265
1752,3.9571199,719,0.0852844,256419.200000000011642,3893622.200000000186265
1753,3.7926600,720,0.0776335,256459.200000000011642,3893622.200000000186265
1754,2.3332300,720,0.1860950,256499.200000000011642,3893622.200000000186265
1755,1.6010500,719,0.2079230,256539.200000000011642,3893622.200000000186265
1756,2.7946200,720,0.1320900,256579.200000000011642,3893622.200000000186265
1757,2.7946200,722,0.0672824,256619.200000000011642,3893622.200000000186265
1758,1.8253300,723,0.0589565,256659.200000000011642,3893622.200000000186265
1759,1.5398700,723,0.0519807,256699.200000000011642,3893622.200000000186265
1760,2.5431001,724,0.0850594,256739.200000000011642,3893622.200000000186265
1761,3.0775199,725,0.0774085,256779.200000000011642,3893622.200000000186265
1762,2.7368400,726,0.0690826,256819.200000000011642,3893622.200000000186265
1763,2.4923000,726,0.1611180,256859.200000000011642,3893622.200000000186265
1764,2.1771801,725,0.1089120,256899.200000000011642,3893622.200000000186265
1765,2.3332300,726,0.0690826,256939.200000000011642,3893622.200000000186265
1766,3.2978599,727,0.0618818,256979.200000000011642,3893622.200000000186265
1767,3.5494800,729,0.0643571,257019.200000000011642,3893622.200000000186265
1768,2.5431001,730,0.1491910,257059.200000000011642,3893622.200000000186265
1769,3.1695199,731,0.1359150,257099.200000000011642,3893622.200000000186265
1770,5.7602301,735,0.0875346,257139.200000000011642,3893622.200000000186265
1771,6.5979199,741,0.0324036,257179.200000000011642,3893622.200000000186265
1772,6.6596799,742,0.0873096,257219.200000000011642,3893622.200000000186265
1773,6.0649199,742,0.0396044,257259.200000000011642,3893622.200000000186265
1774,4.2067399,742,0.0927102,257299.200000000011642,3893622.200000000186265
1775,4.1149402,743,0.0999110,257339.200000000011642,3893622.200000000186265
1776,6.3496399,745,0.1415410,257379.200000000011642,3893622.200000000186265
1777,7.3419399,748,0.1872210,257419.200000000011642,3893622.200000000186265
1778,5.6716800,748,0.1957720,257459.200000000011642,3893622.200000000186265
1779,3.6817801,749,0.1971220,257499.200000000011642,3893622.200000000186265
1780,4.5552602,753,0.0668324,257539.200000000011642,3893622.200000000186265
1781,5.8905001,756,0.1910460,257579.200000000011642,3893622.200000000186265
1782,7.8170900,760,0.0715579,257619.200000000011642,3893622.200000000186265
1783,8.0261602,766,0.0472552,257659.200000000011642,3893622.200000000186265
1784,7.7001600,770,0.1127370,257699.200000000011642,3893622.200000000186265
1785,7.7186499,775,0.1629180,257739.200000000011642,3893622.200000000186265
1786,3.9247899,706,0.0463551,256139.200000000011642,3893582.200000000186265
1787,3.6206501,708,0.0807839,256179.200000000011642,3893582.200000000186265
1788,4.6382298,707,0.0652572,256219.200000000011642,3893582.200000000186265
1789,5.3082800,709,0.1217380,256259.200000000011642,3893582.200000000186265
1790,4.6107402,712,0.1212880,256299.200000000011642,3893582.200000000186265
1791,3.5404799,714,0.0724580,256339.200000000011642,3893582.200000000186265
1792,3.7926600,716,0.0783086,256379.200000000011642,3893582.200000000186265
1793,5.1813502,715,0.0715579,256419.200000000011642,3893582.200000000186265
1794,5.5418401,716,0.1786700,256459.200000000011642,3893582.200000000186265
1795,4.3187199,717,0.1554920,256499.200000000011642,3893582.200000000186265
1796,2.5431001,719,0.0657072,256539.200000000011642,3893582.200000000186265
1797,2.0871301,719,0.0564812,256579.200000000011642,3893582.200000000186265
