shrub_cov_20m,shrub_cov_30m,shrub_cov_40m,shrub_cov_50m
0.13405,0.242,0.0951855,0.111609
0.16109,0.1176,0.234926,0.148224
0.139571,0.0544,0.112737,0.127666
0.158199,0.0564,0.128939,0.104336
0.220742,0.0672,0.0891098,0.0826266
0.210731,0.0476,0.111387,0.050656
0.127001,0.0308,0.118363,0.0817625
0.097415,0.0944,0.0861845,0.0919873
0.140221,0.1056,0.265304,0.0709977
0.105884,0.0668,0.105087,0.0721858
0.08444,0.1508,0.0848343,0.0771182
0.121468,0.1456,0.103736,0.116469
0.110618,0.096,0.072458,0.173318
0.081874,0.2092,0.204998,0.146568
0.104441,0.1696,0.126914,0.0862269
0.102997,0.1252,0.128939,0.062609
0.079966,0.1108,0.116113,0.0658493
0.119099,0.1156,0.117013,0.150024
0.0787,0.0864,0.0841593,0.193947
0.098041,0.1152,0.110487,0.166693
0.069769,0.068,0.13344,0.109845
0.063712,0.1852,0.146041,0.0354628
0.178397,0.1724,0.0870846,0.0295224
0.219478,0.258,0.102386,0.0591167
0.152026,0.2784,0.0643571,0.0489999
0.202565,0.2788,0.0641321,0.0237139
0.240222,0.2732,0.0715579,0.101024
0.276977,0.1992,0.119263,0.0640851
0.274182,0.1568,0.0659323,0.0391711
0.244301,0.1724,0.200272,0.113049
0.227338,0.112,0.161568,0.195388
0.190753,0.042,0.130289,0.161941
0.149008,0.0784,0.351489,0.0981078
0.144302,0.0848,0.171244,0.0780542
0.118763,0.1392,0.0216024,0.0909433
0.086569,0.1248,0.091135,0.1016
0.079752,0.2032,0.0951855,0.147972
0.121234,0.1464,0.195997,0.176486
0.173732,0.1016,0.135915,0.146172
0.19205,0.1048,0.18047,0.133463
0.210077,0.0752,0.0859595,0.162841
0.153629,0.0956,0.0630069,0.197548
0.106773,0.0904,0.2248,0.181635
0.082253,0.0824,0.262154,0.129718
0.092714,0.1516,0.204773,0.0705656
0.092935,0.1012,0.191496,0.0422674
0.101067,0.088,0.426872,0.0761461
0.125835,0.2216,0.342938,0.087199
0.104956,0.2972,0.302883,0.0618169
0.098306,0.2,0.225475,0.0821226
0.135754,0.1972,0.125114,0.0945075
0.148791,0.17,0.0963106,0.131951
0.11935,0.1724,0.121063,0.172382
0.120395,0.1032,0.13929,0.137603
0.091973,0.1084,0.181145,0.0925994
0.118737,0.036,0.0598566,0.0847508
0.219856,0.05,0.0627819,0.107109
0.162602,0.0592,0.187671,0.15168
0.193177,0.066,0.109362,0.160033
0.17139,0.0556,0.0515307,0.117837
0.174142,0.218,0.104186,0.0706016
0.180692,0.114,0.113187,0.0333387
0.190915,0.1036,0.208148,0.037119
0.172484,0.1388,0.111612,0.0529602
0.118699,0.1412,0.0742582,0.0479918
0.13564,0.1584,0.124889,0.0567765
0.129876,0.066,0.151667,0.104696
0.100287,0.0632,0.154592,0.114873
0.095126,0.2244,0.13569,0.118989
0.081965,0.1108,0.132315,0.141059
0.083128,0.1352,0.116338,0.166801
0.128714,0.254,0.112062,0.164893
0.191286,0.1488,0.112962,0.156288
0.209565,0.2092,0.100136,0.102284
0.159289,0.0904,0.110712,0.0544003
0.09579,0.0912,0.0735831,0.074958
0.050217,0.102,0.0715579,0.0987199
0.059396,0.0984,0.0868596,0.141203
0.110068,0.0632,0.166068,0.155424
0.143547,0.0808,0.159093,0.114597
0.123358,0.1868,0.158642,0.1542
0.09884,0.1376,0.0621068,0.257997
0.071526,0.0912,0.0240777,0.263649
0.085453,0.0784,0.0056256,0.200932
0.103124,0.1384,0.0216024,0.129934
0.165739,0.1168,0.0173269,0.0920954
0.178859,0.048,0.0281281,0.0822306
0.110885,0.0676,0.276105,0.0979998
0.075515,0.0932,0.337762,0.102644
0.105844,0.0976,0.2284,0.0720057
0.105569,0.0484,0.0533309,0.0936075
0.121285,0.0628,0.0967607,0.100016
0.094619,0.074,0.194421,0.134471
0.079202,0.0592,0.197572,0.158485
0.083297,0.1256,0.125114,0.10574
0.108355,0.2364,0.0558061,0.075102
0.0815,0.2756,0.0834842,0.123994
0.052816,0.3004,0.238076,0.15222
0.043058,0.2364,0.207248,0.117045
0.063296,0.196,0.123314,0.122662
0.079239,0.1964,0.0981108,0.0979998
0.087244,0.1948,0.139965,0.0450756
0.118668,0.2572,0.146941,0.0291623
