FID,uniID,Count_,Shrub_Cov,Aspect,Slope,Elev,x_utm,y_utm,x_wgs,y_wgs
77,2959.000000000000000,0,0.0000000,288.4349976,2.2636399,661,697239.999998999992386,4062980.000000000000000,-120.792254000000000,36.692036000000002
78,2960.000000000000000,0,0.0197210,90.0000000,1.4321001,661,697259.999998999992386,4062980.000000000000000,-120.792030999999994,36.692031000000000
79,2961.000000000000000,0,0.0000000,123.6900024,2.5805399,660,697279.999998999992386,4062980.000000000000000,-120.791807000000006,36.692027000000003
80,3040.000000000000000,1,0.0000000,225.0000000,3.5404799,657,697199.999998999992386,4063000.000000000000000,-120.792697000000004,36.692224000000003
81,3041.000000000000000,1,0.0026892,265.6010132,4.6587400,659,697219.999998999992386,4063000.000000000000000,-120.792473000000001,36.692219999999999
82,3042.000000000000000,0,0.0000000,300.9639893,2.0871301,660,697239.999998999992386,4063000.000000000000000,-120.792248999999998,36.692216000000002
83,3043.000000000000000,0,0.0000000,18.4349003,1.1322600,660,697259.999998999992386,4063000.000000000000000,-120.792024999999995,36.692211999999998
84,3044.000000000000000,0,0.0000000,90.0000000,0.7161600,660,697279.999998999992386,4063000.000000000000000,-120.791802000000004,36.692207000000003
85,3123.000000000000000,0,0.0000000,188.1300049,2.5304899,658,697199.999998999992386,4063020.000000000000000,-120.792691000000005,36.692404000000003
86,3124.000000000000000,0,0.0537846,261.8699951,2.5304899,659,697219.999998999992386,4063020.000000000000000,-120.792468000000000,36.692399999999999
87,3125.000000000000000,0,0.0000000,296.5650024,1.6010500,660,697239.999998999992386,4063020.000000000000000,-120.792243999999997,36.692396000000002
88,3126.000000000000000,0,0.0000000,315.0000000,0.5064150,660,697259.999998999992386,4063020.000000000000000,-120.792019999999994,36.692391999999998
89,3127.000000000000000,0,0.0000000,-1.0000000,0.0000000,660,697279.999998999992386,4063020.000000000000000,-120.791797000000003,36.692388000000001
90,3206.000000000000000,1,0.0062749,135.0000000,1.5189300,659,697199.999998999992386,4063040.000000000000000,-120.792686000000003,36.692583999999997
91,3207.000000000000000,1,0.0035856,270.0000000,0.7161600,659,697219.999998999992386,4063040.000000000000000,-120.792462999999998,36.692580000000000
92,3208.000000000000000,0,0.0000000,315.0000000,1.5189300,659,697239.999998999992386,4063040.000000000000000,-120.792238999999995,36.692576000000003
93,3209.000000000000000,0,0.0000000,348.6900024,1.8253300,660,697259.999998999992386,4063040.000000000000000,-120.792015000000006,36.692571999999998
94,3288.000000000000000,1,0.0062749,90.0000000,1.4321001,660,697179.999998999992386,4063060.000000000000000,-120.792905000000005,36.692768999999998
95,3289.000000000000000,0,0.0053785,90.0000000,1.4321001,659,697199.999998999992386,4063060.000000000000000,-120.792681000000002,36.692763999999997
96,3290.000000000000000,0,0.0000000,45.0000000,0.5064150,659,697219.999998999992386,4063060.000000000000000,-120.792456999999999,36.692760000000000
97,3291.000000000000000,0,0.0008964,11.3099003,1.8253300,659,697239.999998999992386,4063060.000000000000000,-120.792233999999993,36.692756000000003
98,3292.000000000000000,0,0.0215139,15.2551003,4.0760598,659,697259.999998999992386,4063060.000000000000000,-120.792010000000005,36.692751999999999
99,3371.000000000000000,1,0.0233067,116.5650024,1.6010500,660,697179.999998999992386,4063080.000000000000000,-120.792900000000003,36.692948999999999
100,3372.000000000000000,0,0.0035856,101.3099976,1.8253300,659,697199.999998999992386,4063080.000000000000000,-120.792676000000000,36.692945000000002
101,3373.000000000000000,0,0.0000000,63.4348984,1.6010500,659,697219.999998999992386,4063080.000000000000000,-120.792451999999997,36.692940999999998
102,3374.000000000000000,1,0.0062749,45.0000000,3.5404799,658,697239.999998999992386,4063080.000000000000000,-120.792227999999994,36.692936000000003
103,3375.000000000000000,2,0.0000000,33.6901016,5.1506500,657,697259.999998999992386,4063080.000000000000000,-120.792005000000003,36.692931999999999
104,3453.000000000000000,0,0.0143426,288.4349976,1.1322600,660,697159.999998999992386,4063100.000000000000000,-120.793118000000007,36.693133000000003
105,3454.000000000000000,1,0.0035856,108.4349976,1.1322600,661,697179.999998999992386,4063100.000000000000000,-120.792894000000004,36.693128999999999
106,3455.000000000000000,0,0.0188246,108.4349976,2.2636399,659,697199.999998999992386,4063100.000000000000000,-120.792670999999999,36.693125000000002
107,3456.000000000000000,0,0.0000000,90.0000000,2.8624101,659,697219.999998999992386,4063100.000000000000000,-120.792446999999996,36.693120999999998
108,3457.000000000000000,1,0.0000000,71.5650024,4.5202298,657,697239.999998999992386,4063100.000000000000000,-120.792223000000007,36.693117000000001
109,3458.000000000000000,0,0.0000000,55.3047981,5.6437101,656,697259.999998999992386,4063100.000000000000000,-120.792000000000002,36.693111999999999
110,3535.000000000000000,2,0.0000000,315.0000000,3.5404799,659,697139.999998999992386,4063120.000000000000000,-120.793336999999994,36.693317000000000
111,3536.000000000000000,2,0.0000000,326.3099976,2.5805399,660,697159.999998999992386,4063120.000000000000000,-120.793113000000005,36.693313000000003
112,3537.000000000000000,0,0.0197210,0.0000000,1.4321001,660,697179.999998999992386,4063120.000000000000000,-120.792889000000002,36.693308999999999
113,3538.000000000000000,4,0.0017928,90.0000000,1.4321001,660,697199.999998999992386,4063120.000000000000000,-120.792665999999997,36.693305000000002
114,3539.000000000000000,0,0.0000000,95.1943970,3.9490600,659,697219.999998999992386,4063120.000000000000000,-120.792441999999994,36.693300999999998
115,3540.000000000000000,1,0.0188246,82.8750000,5.7547402,657,697239.999998999992386,4063120.000000000000000,-120.792218000000005,36.693297000000001
116,3618.000000000000000,1,0.0331672,315.0000000,4.0446901,658,697139.999998999992386,4063140.000000000000000,-120.793332000000007,36.693497999999998
117,3619.000000000000000,1,0.0233067,333.4349976,3.1996000,659,697159.999998999992386,4063140.000000000000000,-120.793108000000004,36.693492999999997
118,3620.000000000000000,1,0.0017928,336.8009949,2.7251401,659,697179.999998999992386,4063140.000000000000000,-120.792884000000001,36.693489000000000
119,3621.000000000000000,1,0.0000000,11.3099003,1.8253300,660,697199.999998999992386,4063140.000000000000000,-120.792659999999998,36.693485000000003
120,3622.000000000000000,0,0.0062749,71.5650024,4.5202298,659,697219.999998999992386,4063140.000000000000000,-120.792437000000007,36.693480999999998
121,3623.000000000000000,1,0.0000000,75.2564011,7.0004802,657,697239.999998999992386,4063140.000000000000000,-120.792213000000004,36.693477000000001
122,3701.000000000000000,2,0.0242031,322.1250000,4.0760598,657,697139.999998999992386,4063160.000000000000000,-120.793325999999993,36.693677999999998
123,3702.000000000000000,2,0.0098605,338.1990051,3.8510301,658,697159.999998999992386,4063160.000000000000000,-120.793103000000002,36.693674000000001
124,3703.000000000000000,0,0.0000000,323.1300049,3.5763299,658,697179.999998999992386,4063160.000000000000000,-120.792878999999999,36.693669000000000
125,3704.000000000000000,0,0.0000000,348.6900024,1.8253300,659,697199.999998999992386,4063160.000000000000000,-120.792654999999996,36.693665000000003
126,3705.000000000000000,0,0.0026892,71.5650024,4.5202298,658,697219.999998999992386,4063160.000000000000000,-120.792432000000005,36.693660999999999
127,3783.000000000000000,1,0.0000000,263.6600037,3.2392700,655,697119.999998999992386,4063180.000000000000000,-120.793544999999995,36.693862000000003
128,3784.000000000000000,1,0.0403385,281.3099976,1.8253300,656,697139.999998999992386,4063180.000000000000000,-120.793321000000006,36.693857999999999
129,3785.000000000000000,2,0.0197210,315.0000000,1.5189300,656,697159.999998999992386,4063180.000000000000000,-120.793098000000001,36.693854000000002
130,3786.000000000000000,0,0.0000000,315.0000000,3.0357201,657,697179.999998999992386,4063180.000000000000000,-120.792873999999998,36.693849999999998
131,3787.000000000000000,0,0.0242031,353.6600037,3.2392700,659,697199.999998999992386,4063180.000000000000000,-120.792649999999995,36.693845000000003
132,3788.000000000000000,2,0.0233067,51.3401985,4.5761399,658,697219.999998999992386,4063180.000000000000000,-120.792426000000006,36.693840999999999
133,3862.000000000000000,4,0.0053785,177.5099945,8.1878500,653,697039.999998999992386,4063200.000000000000000,-120.794434999999993,36.694059000000003
134,3863.000000000000000,3,0.0053785,191.3099976,7.2646298,653,697059.999998999992386,4063200.000000000000000,-120.794211000000004,36.694054999999999
135,3864.000000000000000,2,0.0250995,210.9640045,6.2393899,654,697079.999998999992386,4063200.000000000000000,-120.793987000000001,36.694051000000002
136,3865.000000000000000,2,0.0224103,218.6600037,4.5761399,655,697099.999998999992386,4063200.000000000000000,-120.793763999999996,36.694046000000000
137,3866.000000000000000,0,0.0000000,225.0000000,4.0446901,656,697119.999998999992386,4063200.000000000000000,-120.793539999999993,36.694042000000003
138,3867.000000000000000,2,0.0242031,203.1990051,2.7251401,657,697139.999998999992386,4063200.000000000000000,-120.793316000000004,36.694037999999999
139,3868.000000000000000,2,0.0107569,161.5650024,1.1322600,657,697159.999998999992386,4063200.000000000000000,-120.793092000000001,36.694034000000002
140,3869.000000000000000,3,0.0188246,18.4349003,2.2636399,657,697179.999998999992386,4063200.000000000000000,-120.792868999999996,36.694029999999998
141,3870.000000000000000,1,0.0331672,11.3099003,5.4612598,656,697199.999998999992386,4063200.000000000000000,-120.792644999999993,36.694026000000001
142,3943.000000000000000,1,0.0134462,182.4900055,8.1878500,656,696999.999998999992386,4063220.000000000000000,-120.794877000000000,36.694246999999997
143,3944.000000000000000,1,0.0035856,180.0000000,8.5307703,656,697019.999998999992386,4063220.000000000000000,-120.794652999999997,36.694243000000000
144,3945.000000000000000,1,0.0286851,169.6950073,7.9558001,656,697039.999998999992386,4063220.000000000000000,-120.794430000000006,36.694239000000003
145,3946.000000000000000,3,0.0098605,176.6340027,6.0753298,655,697059.999998999992386,4063220.000000000000000,-120.794206000000003,36.694234999999999
146,3947.000000000000000,2,0.0600595,198.4349976,4.5202298,656,697079.999998999992386,4063220.000000000000000,-120.793982000000000,36.694231000000002
147,3948.000000000000000,0,0.0044820,209.0549927,3.6817801,656,697099.999998999992386,4063220.000000000000000,-120.793757999999997,36.694226999999998
148,3949.000000000000000,3,0.0376493,225.0000000,3.5404799,657,697119.999998999992386,4063220.000000000000000,-120.793535000000006,36.694222000000003
149,3950.000000000000000,3,0.0143426,161.5650024,1.1322600,658,697139.999998999992386,4063220.000000000000000,-120.793311000000003,36.694217999999999
150,3951.000000000000000,2,0.0107569,60.9454002,3.6817801,657,697159.999998999992386,4063220.000000000000000,-120.793087000000000,36.694214000000002
151,3952.000000000000000,1,0.0080677,40.2364006,6.0753298,656,697179.999998999992386,4063220.000000000000000,-120.792863999999994,36.694209999999998
152,4024.000000000000000,0,0.0107569,203.1990051,8.1266499,657,696959.999998999992386,4063240.000000000000000,-120.795319000000006,36.694436000000003
153,4025.000000000000000,1,0.0008964,198.4349976,7.8768501,658,696979.999998999992386,4063240.000000000000000,-120.795096000000001,36.694431999999999
154,4026.000000000000000,2,0.0089641,185.1940002,7.8609600,659,696999.999998999992386,4063240.000000000000000,-120.794871999999998,36.694426999999997
155,4027.000000000000000,5,0.0555775,174.2890015,7.1601801,659,697019.999998999992386,4063240.000000000000000,-120.794647999999995,36.694423000000000
156,4028.000000000000000,0,0.0259959,149.0359955,6.2393899,659,697039.999998999992386,4063240.000000000000000,-120.794424000000006,36.694419000000003
157,4029.000000000000000,0,0.0026892,142.1250000,4.0760598,657,697059.999998999992386,4063240.000000000000000,-120.794201000000001,36.694414999999999
158,4030.000000000000000,1,0.0358564,191.3099976,1.8253300,657,697079.999998999992386,4063240.000000000000000,-120.793976999999998,36.694411000000002
159,4031.000000000000000,1,0.0170318,225.0000000,1.5189300,657,697099.999998999992386,4063240.000000000000000,-120.793752999999995,36.694406999999998
160,4032.000000000000000,2,0.0152390,270.0000000,1.4321001,658,697119.999998999992386,4063240.000000000000000,-120.793530000000004,36.694403000000001
161,4033.000000000000000,0,0.0000000,54.4622993,3.0775199,658,697139.999998999992386,4063240.000000000000000,-120.793306000000001,36.694398000000000
162,4105.000000000000000,0,0.0268923,182.1210022,9.5848703,658,696919.999998999992386,4063260.000000000000000,-120.795761999999996,36.694623999999997
163,4106.000000000000000,1,0.0008964,199.7989960,9.4288702,659,696939.999998999992386,4063260.000000000000000,-120.795537999999993,36.694620000000000
164,4107.000000000000000,3,0.0403385,195.2550049,8.1112804,660,696959.999998999992386,4063260.000000000000000,-120.795314000000005,36.694616000000003
165,4108.000000000000000,0,0.0636452,196.3899994,6.3197699,661,696979.999998999992386,4063260.000000000000000,-120.795090000000002,36.694611999999999
166,4109.000000000000000,2,0.0000000,180.0000000,4.2891502,662,696999.999998999992386,4063260.000000000000000,-120.794866999999996,36.694608000000002
167,4110.000000000000000,1,0.0179282,126.8700027,3.5763299,661,697019.999998999992386,4063260.000000000000000,-120.794642999999994,36.694603000000001
168,4111.000000000000000,3,0.0250995,82.8750000,5.7547402,660,697039.999998999992386,4063260.000000000000000,-120.794419000000005,36.694598999999997
169,4112.000000000000000,3,0.0752985,57.5288010,4.6587400,657,697059.999998999992386,4063260.000000000000000,-120.794195999999999,36.694595000000000
170,4113.000000000000000,5,0.0322708,0.0000000,2.8624101,657,697079.999998999992386,4063260.000000000000000,-120.793971999999997,36.694591000000003
171,4114.000000000000000,2,0.0295816,353.6600037,3.2392700,657,697099.999998999992386,4063260.000000000000000,-120.793747999999994,36.694586999999999
172,4115.000000000000000,0,0.0206174,354.8059998,3.9490600,657,697119.999998999992386,4063260.000000000000000,-120.793524000000005,36.694583000000002
173,4185.000000000000000,0,0.0215139,152.1029968,6.8552599,666,696859.999998999992386,4063280.000000000000000,-120.796428000000006,36.694817000000000
174,4186.000000000000000,3,0.0053785,138.5760040,8.0649700,664,696879.999998999992386,4063280.000000000000000,-120.796204000000003,36.694813000000003
175,4187.000000000000000,4,0.0340636,149.9309998,7.8130798,662,696899.999998999992386,4063280.000000000000000,-120.795980000000000,36.694808000000002
176,4188.000000000000000,1,0.0430277,176.9869995,6.7814498,661,696919.999998999992386,4063280.000000000000000,-120.795755999999997,36.694803999999998
177,4189.000000000000000,2,0.0000000,200.5559998,6.0960798,662,696939.999998999992386,4063280.000000000000000,-120.795533000000006,36.694800000000001
178,4190.000000000000000,2,0.0394421,185.1940002,3.9490600,663,696959.999998999992386,4063280.000000000000000,-120.795309000000003,36.694795999999997
179,4191.000000000000000,1,0.0008964,153.4349976,1.6010500,662,696979.999998999992386,4063280.000000000000000,-120.795085000000000,36.694792000000000
180,4192.000000000000000,2,0.0134462,59.0362015,2.0871301,662,696999.999998999992386,4063280.000000000000000,-120.794861999999995,36.694788000000003
181,4193.000000000000000,3,0.0421313,59.0362015,6.2393899,661,697019.999998999992386,4063280.000000000000000,-120.794638000000006,36.694783999999999
182,4194.000000000000000,2,0.0098605,57.5288010,9.2566795,658,697039.999998999992386,4063280.000000000000000,-120.794414000000003,36.694778999999997
183,4195.000000000000000,0,0.0600595,37.4053993,7.6184301,655,697059.999998999992386,4063280.000000000000000,-120.794190000000000,36.694775000000000
184,4196.000000000000000,2,0.0170318,0.0000000,6.4187899,655,697079.999998999992386,4063280.000000000000000,-120.793966999999995,36.694771000000003
185,4197.000000000000000,0,0.0501990,356.6340027,6.0753298,655,697099.999998999992386,4063280.000000000000000,-120.793743000000006,36.694766999999999
186,4266.000000000000000,1,0.0331672,243.4349976,3.1996000,667,696819.999998999992386,4063300.000000000000000,-120.796869999999998,36.695005000000002
187,4267.000000000000000,1,0.0394421,225.0000000,0.5064150,668,696839.999998999992386,4063300.000000000000000,-120.796645999999996,36.695000999999998
