Shrub_ID,D1,D2,H,Volume,S.density grouping,Canopy,Skat.2013,Skat.2014,X,Y,RDM.2013,RDM.2014,Shrub.density,Dx,Burrows,Trails
452,2.1,1.5,1.1,1.81,7,9,1,0,696678.9225,4063551.592,4.484929085,2.364382982,0.003119012,8.616666667,2,5
453,2.16,2.14,1.14,2.76,7,3,0,0,696674.2126,4063550.373,4.531951904,2.327305555,0.003509657,,,
454,3.2,2.7,1.3,5.88,7,3,0,0,696653.9495,4063568.557,6.791348457,3.704227209,0.004652813,,,
455,3.97,3.9,1.4,11.35,7,7,0,0,696645.4338,4063577.353,5.459218025,4.934430122,0.004493121,,,
456,2.52,2.3,0.82,2.49,7,3,0,0,696661.7002,4063585.276,5.843828201,4.565992832,0.002273246,,,
457,2.12,2,1.54,3.42,7,3,0,0,696625.4222,4063561.241,12.69437218,2.903836727,0.004472816,,,
458,3.35,3.2,1.41,7.91,7,1,0,0,696624.942,4063554.903,15.5259819,2.255877733,0.004470219,,,
459,4.47,4.19,1.53,15,7,8,0,1,696606.4068,4063564.023,7.849694729,3.02811265,0.003525761,,,
460,4.47,4.12,1.27,12.25,7,8,0,1,696606.2896,4063569.127,3.684702396,3.259257555,0.003951671,,,
461,0.7,0.6,0.55,0.12,7,2,0,0,696603.8848,4063564.854,7.922335625,2.709180593,0.003834007,,,
462,3.3,3.7,1.4,8.95,7,7,1,1,696609.4427,4063579.746,2.011184931,4.245875359,0.004487901,,,
463,2.91,1.12,0.82,1.4,7,7,0,0,696614.5227,4063580.417,1.893025398,6.586946487,0.004897265,,,
464,1.47,1.23,0.88,0.83,7,3,0,0,696628.0089,4063580.949,1.381188869,5.751417637,0.005173022,,,
465,1.63,1.3,0.77,0.85,7,2,0,0,696627.2997,4063592.367,0.877480507,7.882537365,0.003834683,,,
466,1.83,1.8,1.02,1.76,7,1,0,0,696632.9439,4063595.716,1.838811755,6.333465576,0.003491669,,,
467,2.32,2.19,1.39,3.7,7,4,0,0,696638.8561,4063595.186,1.250415921,5.826335907,0.003469623,,,
468,3.27,3.41,1.07,6.25,7,5,0,0,696632.7936,4063602.262,3.010483265,9.523730278,0.002916205,,,
469,4.28,2.75,1.3,8.01,7,5,0,0,696634.4508,4063615.732,8.9985466,12.28485775,0.002220446,,,
470,4.8,4.6,1.6,18.5,7,6,0,0,696616.5415,4063632.638,9.337669373,10.79954338,0.002445132,,,
471,3.54,3.28,1.55,9.42,7,8,0,0,696612.7418,4063603.466,7.884563923,11.53563976,0.005037351,,,
472,4.34,3.47,1.36,10.72,7,4,0,0,696598.8695,4063584.72,2.777813673,6.057266712,0.004000158,,,
473,5.47,4.73,1.37,18.56,7,6,0,0,696585.9554,4063590.418,10.51474667,7.061011314,0.005097679,,,
474,3.5,2.44,0.84,3.76,7,4,0,0,696566.8342,4063566.667,17.22131157,5.420407772,0.004854522,,,
475,7.46,6.95,2.14,58.09,7,4,0,0,696550.7897,4063556.862,16.66620064,5.373922825,0.005787849,,,
