FID,pointid,shrub_cov,Elev,Slope,x_wgs,y_wgs,x_utm,y_utm,lat,lng
849,850,0.183903,758,3.1996,-119.677354,35.16491,256149.2,3894610,,
1343,1344,0.183822,757,4.65874,-119.669766,35.161112,256829.2,3894170,,
2121,2122,0.183383,723,1.13226,-119.671148,35.156394,256689.2,3893650,,
2422,2423,0.183112,719,2.7251401,-119.670212,35.154612,256769.2,3893450,,
72,73,0.182705,-9999,3.6817801,-119.677282,35.169419,256169.2,3895110,,
1511,1512,0.182701,755,4.79318,-119.668853,35.16005,256909.2,3894050,,
1986,1987,0.182582,736,7.0719199,-119.667668,35.157372,257009.2,3893750,,
1728,1729,0.182444,745,6.0960798,-119.668592,35.158794,256929.2,3893910,,
1483,1484,0.182384,756,2.8624101,-119.668639,35.160235,256929.2,3894070,,
2023,2024,0.181945,736,2.5805399,-119.666346,35.157221,257129.2,3893730,,
1457,1458,0.181688,757,3.23927,-119.668206,35.160425,256969.2,3894090,,
696,697,0.181661,771,3.6817801,-119.674318,35.166059,256429.2,3894730,,
689,690,0.181276,761,6.3197699,-119.675854,35.166025,256289.2,3894730,,
1276,1277,0.180935,749,4.0760598,-119.673507,35.16139,256489.2,3894210,,
1741,1742,0.180758,744,6.2393899,-119.665741,35.158857,257189.2,3893910,,
638,639,0.180692,762,4.0760598,-119.679809,35.166118,255929.2,3894750,,
1422,1423,0.180631,756,6.6312499,-119.669748,35.160571,256829.2,3894110,,
35,36,0.180266,780,5.5532498,-119.679269,35.169735,255989.2,3895150,,
1328,1329,0.180081,748,5.4380102,-119.673056,35.161039,256529.2,3894170,,
1806,1807,0.179839,741,5.15065,-119.665948,35.158492,257169.2,3893870,,
229,230,0.179636,769,5.5760102,-119.679435,35.168109,255969.2,3894970,,
296,297,0.179129,768,4.2891502,-119.679204,35.167754,255989.2,3894930,,
122,123,0.179067,777,4.3480902,-119.679458,35.16883,255969.2,3895050,,
492,493,0.178968,764,0.506415,-119.679393,35.166848,255969.2,3894830,,
527,528,0.178953,763,5.7105899,-119.680484,35.166644,255869.2,3894810,,
663,664,0.178859,771,4.0760598,-119.674324,35.166239,256429.2,3894750,,
493,494,0.178576,764,1.60105,-119.679174,35.166853,255989.2,3894830,,
599,600,0.178397,759,6.7628598,-119.680911,35.166274,255829.2,3894770,,
569,570,0.177832,764,2.0248699,-119.679601,35.166483,255949.2,3894790,,
1727,1728,0.177773,744,5.0006399,-119.668812,35.158789,256909.2,3893910,,
309,310,0.17777,776,7.6675801,-119.676352,35.167817,256249.2,3894930,,
1573,1574,0.177735,751,7.4352999,-119.668402,35.1597,256949.2,3894010,,
