FID,Slope,Elevat,ShrubCov,x_utm,y_utm
81,4.1489100,780,0.1729940,256074.200000000011642,3895138.200000000186265
82,4.7034798,783,0.1461360,256124.200000000011642,3895138.200000000186265
83,5.4179502,786,0.1202500,256174.200000000011642,3895138.200000000186265
84,6.3157001,790,0.1097730,256224.200000000011642,3895138.200000000186265
85,7.0053501,793,0.1007360,256274.200000000011642,3895138.200000000186265
86,7.0818701,796,0.0851108,256324.200000000011642,3895138.200000000186265
87,6.5377898,796,0.1220860,256374.200000000011642,3895138.200000000186265
88,5.9634199,796,0.1384310,256424.200000000011642,3895138.200000000186265
89,6.6437602,798,0.1217620,256474.200000000011642,3895138.200000000186265
90,8.9903498,804,0.1788620,256524.200000000011642,3895138.200000000186265
91,9.5860901,814,0.2882030,256574.200000000011642,3895138.200000000186265
92,7.8408899,822,0.3224420,256624.200000000011642,3895138.200000000186265
93,7.3271999,823,0.2231100,256674.200000000011642,3895138.200000000186265
94,6.9316201,821,0.1559280,256724.200000000011642,3895138.200000000186265
95,-9999.0000000,821,0.2292660,256774.200000000011642,3895138.200000000186265
96,4.0586600,776,0.1058120,255824.200000000011642,3895088.200000000186265
97,4.0013099,776,0.1245340,255874.200000000011642,3895088.200000000186265
98,3.9238901,776,0.1208260,255924.200000000011642,3895088.200000000186265
99,3.4275701,776,0.1381790,255974.200000000011642,3895088.200000000186265
100,3.1856501,776,0.1735700,256024.200000000011642,3895088.200000000186265
101,3.8974800,777,0.1680610,256074.200000000011642,3895088.200000000186265
102,4.9369001,780,0.1351550,256124.200000000011642,3895088.200000000186265
103,5.5135198,782,0.1291780,256174.200000000011642,3895088.200000000186265
104,5.3148298,786,0.1180170,256224.200000000011642,3895088.200000000186265
105,5.4565501,788,0.1220500,256274.200000000011642,3895088.200000000186265
106,5.7679501,790,0.1061720,256324.200000000011642,3895088.200000000186265
107,5.2777400,791,0.1441200,256374.200000000011642,3895088.200000000186265
108,4.9334898,791,0.1970080,256424.200000000011642,3895088.200000000186265
109,7.2841501,794,0.1798340,256474.200000000011642,3895088.200000000186265
110,10.5602999,804,0.1280980,256524.200000000011642,3895088.200000000186265
111,9.7926102,814,0.1284940,256574.200000000011642,3895088.200000000186265
112,7.4808798,816,0.1544880,256624.200000000011642,3895088.200000000186265
113,6.6250601,814,0.1392230,256674.200000000011642,3895088.200000000186265
114,7.1396799,816,0.1881870,256724.200000000011642,3895088.200000000186265
115,10.3437004,822,0.2793100,256774.200000000011642,3895088.200000000186265
116,-9999.0000000,830,0.2846630,256824.200000000011642,3895088.200000000186265
117,3.2387400,773,0.0900432,255774.200000000011642,3895038.200000000186265
